"university","lat","long","ord","founded"
"Universidad Nacional Mayor de San Marcos",-12.059,-77.082,1,1551
"Universidad Nacional de Ingeniería ",-12.0232,-77.0476,2,1876
"Universidad Nacional Agraria de La Molina",-12.0809,-76.95,3,1902
"Universidad Privada La Catolica",-12.068,-77.079,4,1917
"Universidad Peruana Cayetano Heredia ",-12.024,-77.0565,5,1961
"Universidad San Martin de Porres",-12.07565,-76.9412,6,1962
"Universidad de Lima",-12.08445,-76.971,6,1962
"Universidad del Pacifico ",-12.0838,-77.0488,6,1962
"Universidad Nacional del Callao ",-12.0613,-77.1173,7,1966
"Universidad Ricardo Palma",-12.132,-76.98,8,1969
"Universidad Cesar Vallejo",-11.9815,-77.00028,9,1991
"Universidad Privada de Ciencias",-12.1042,-76.963,10,1994
"Universidad San Ignacio de Loyola",-12.073,-76.952,11,1995
